sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
0444,444,M,b,2003?,?,?,?,?,Location Unknown,Absaroka,-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0447,447,F,g,2004,?,Phantom Lake (05),?,?,Location Unknown,Phantom Lake (05),-,N/A,2005,unknown,N/A, Unknown,,,,No,Yes,
0449,449,M,b,2000?,?,?,?,?,Location Unknown,Green River,-,N/A,2003,unknown,N/A, Unknown,,,,No,Yes,
0451,451,F,g,2004,April,Gibbon Meadows,537F,304M,"Gibbon Meadows, YNP",Gibbon Meadows,-,2004,N/A,September 24,Vehicle, Unknown,,,,Yes,Yes,
0453,453,?,g,2003?,?,?,?,?,Location Unknown,None,Slough Creek,2006,N/A,June 11,Legally Shot ,Unknown,,,,No,Yes,
0466,466,?,g,2002?,?,?,?,?,Location Unknown,?,-,2004,N/A,December 12,Natural,Unknown,,,,No,Yes,
0467,467,M,g,2003,April,Nez Perce,48F,72M,"Firehole River Area, YNP",Nez Perce,-,2004,N/A,December 1,Unknown, Unknown,,,,Yes,Yes,
0468,468,M,g,2002,April,Leopold,7F,2M,"Blacktail Deer Plateau, YNP",Hellroaring,-,N/A,2006,unknown,N/A, Unknown,,,,Yes,Yes,
0469,469,F,g,2003,April,Leopold,220F,?,"Blacktail Deer Plateau, YNP",Quadrant Mountain,-,2012,N/A,March 18,Wolf (Blacktail),"Quadrant Mountain Area, YNP",,,,Yes,Yes,
0470,470,F,b,2004,April,Leopold,209F,534M,"Blacktail Deer Plateau, YNP",None,Oxbow Creek,N/A,2010,December ,N/A, Unknown,,,,Yes,Yes,
0471,471,F,g,2003,April,Agate Creek,472F,113M,"Tower Junction Area, YNP",Agate Creek,Lava Creek,2012,N/A,April 10,Wolf (Mollie's), Unknown,,,,Yes,Yes,
0472,472,F,b,2000,April,Druid Peak,40F,21M,"Lamar Valley, YNP",Agate Creek,-,2010,N/A,December 1,Wolf (possibly Blacktail),"Lamar River & Slough Creek Confluence, Little America, YNP",,,,Yes,Yes,
0473,473,M,g,2004,April,Swan Lake,152F,205M,"Gardner's Hole/Swan Lake Flat Area, YNP",Swan Lake,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0474,474,M,b,2004,April,Biscuit Basin,340F,?,"Madison-Firehole Area, YNP",None,-,2006,N/A,December 3,Illegally Shot (possibly),"Tobacco Root, MT",,,,Yes,Yes,
0475,475,F,g,2004,April,Biscuit Basin,340F,?,"Madison-Firehole Area, YNP",Biscuit Basin,-,2005,N/A,January 31,Wolf, Unknown,,,,Yes,Yes,
0476,476,F,g,2003,April,Nez Perce,48F(?),72M(?),"Firehole River Area, YNP",Biscuit Basin,-,2005,N/A,May 5,Illegally Shot (possibly), Unknown,,,,Yes,Yes,
0477,477,M,b,2003,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,N/A,2005,unknown,N/A, Unknown,,,,Yes,Yes,
0478,478,F,b,2003,April,Cougar Creek,151F,303M,"Madison Valley Area, YNP",Cougar Creek,-,2015,N/A,November ,Unknown,"Madison Valley Area, YNP",,,,Yes,Yes,
